category,company,n_reviews,median_stars,media_stars,std_stars
Vehicles & Transportation,www.planetx.co.uk,100,3,3,1.421338109
Vehicles & Transportation,www.plates4less.co.uk,100,3,3,1.421338109
Vehicles & Transportation,www.protyre.co.uk,100,3,3,1.421338109
Vehicles & Transportation,taxis.gatwickairport.com,100,3,3,1.421338109
Vehicles & Transportation,www.regtransfers.co.uk,100,3,3,1.421338109
Vehicles & Transportation,www.sportandleisure.com,100,3,3,1.421338109
Vehicles & Transportation,www.thetrainline.com,100,3,3,1.421338109
Vehicles & Transportation,www.tredz.co.uk,100,3,3,1.421338109
Vehicles & Transportation,www.webuyanycar.com,100,3,3,1.421338109
Vehicles & Transportation,www.winstanleysbikes.co.uk,100,3,3,1.421338109
Vehicles & Transportation,www.merlincycles.com,100,3,3,1.421338109
Vehicles & Transportation,www.leisurelakesbikes.com,100,3,3,1.421338109
Vehicles & Transportation,www.kwik-fit.com,100,3,3,1.421338109
Vehicles & Transportation,www.huntbikewheels.com,100,3,3,1.421338109
Vehicles & Transportation,www.halfords.com,100,3,3,1.421338109
Vehicles & Transportation,www.ferryonline.co.uk,100,3,3,1.421338109
Vehicles & Transportation,www.f1autocentres.co.uk,100,3,3,1.421338109
Vehicles & Transportation,www.evanscycles.com,100,3,3,1.421338109
Vehicles & Transportation,www.eurocarparts.com,100,3,3,1.421338109
Vehicles & Transportation,www.directferries.co.uk,100,3,3,1.421338109
Vehicles & Transportation,www.demon-tweeks.com,100,3,3,1.421338109
Vehicles & Transportation,www.carmats-uk.com,100,3,3,1.421338109
Vehicles & Transportation,www.brittany-ferries.co.uk,100,3,3,1.421338109
Vehicles & Transportation,www.blackcircles.com,100,3,3,1.421338109
Vehicles & Transportation,www.balfesbikes.co.uk,100,3,3,1.421338109
Vehicles & Transportation,www.autowindscreens.co.uk,100,3,3,1.421338109
Vehicles & Transportation,tyresonthedrive.com,100,3,3,1.421338109
Utilities,rebelenergy.com,100,3,3,1.421338109
Utilities,plumblondon.com,100,3,3,1.421338109
Shopping & Fashion,www.very.co.uk,100,3,3,1.421338109
Sports,www.sportsshoes.com,100,3,3,1.421338109
Sports,www.lovell-rugby.co.uk,100,3,3,1.421338109
Sports,www.lovellsports.com,100,3,3,1.421338109
Sports,www.mysterykits.co.uk,100,3,3,1.421338109
Sports,www.networldsports.co.uk,100,3,3,1.421338109
Sports,www.skates.co.uk,100,3,3,1.421338109
Sports,www.snaintongolf.co.uk,100,3,3,1.421338109
Travel & Vacation,awayresorts.co.uk,100,3,3,1.421338109
Travel & Vacation,traveltrolley.co.uk,100,3,3,1.421338109
Travel & Vacation,budgetair.co.uk,100,3,3,1.421338109
Travel & Vacation,cottages.com,100,3,3,1.421338109
Travel & Vacation,holidaycottages.co.uk,100,3,3,1.421338109
Travel & Vacation,leshuttle.com,100,3,3,1.421338109
Travel & Vacation,loveholidays.com,100,3,3,1.421338109
Travel & Vacation,myhotelbreak.com,100,3,3,1.421338109
Sports,www.hollywoodbowl.co.uk,100,3,3,1.421338109
Sports,www.dukevideo.com,100,3,3,1.421338109
Sports,www.classicfootballshirts.co.uk,100,3,3,1.421338109
Sports,www.carchaseheroes.com,100,3,3,1.421338109
Sports,www.allroundercricket.com,100,3,3,1.421338109
Sports,www.absoluterugby.co.uk,100,3,3,1.421338109
Sports,shopjoga.com,100,3,3,1.421338109
Sports,opro.com,100,3,3,1.421338109
Sports,mysteryshirtinabox.com,100,3,3,1.421338109
Sports,mysteryfootball.co.uk,100,3,3,1.421338109
Sports,just-keepers.com,100,3,3,1.421338109
Sports,golfclubs4cash.co.uk,100,3,3,1.421338109
Sports,equus.co.uk,100,3,3,1.421338109
Sports,druids.com,100,3,3,1.421338109
Sports,directsoccer.co.uk,100,3,3,1.421338109
Sports,cardsplug.com,100,3,3,1.421338109
Sports,canterbury.com,100,3,3,1.421338109
Travel & Vacation,superescapes.co.uk,100,3,3,1.421338109
Travel & Vacation,travelup.com,100,3,3,1.421338109
Utilities,octopus.energy,100,3,3,1.421338109
Travel & Vacation,www.travelzoo.com,100,3,3,1.421338109
Travel & Vacation,www.skyscanner.net,100,3,3,1.421338109
Travel & Vacation,www.sykescottages.co.uk,100,3,3,1.421338109
Travel & Vacation,www.thomascook.com,100,3,3,1.421338109
Travel & Vacation,www.travelhouseuk.co.uk,100,3,3,1.421338109
Travel & Vacation,www.travelodge.co.uk,100,3,3,1.421338109
Travel & Vacation,www.travelrepublic.co.uk,100,3,3,1.421338109
Travel & Vacation,www.tui.co.uk,100,3,3,1.421338109
Travel & Vacation,treasuretrails.co.uk,100,3,3,1.421338109
Travel & Vacation,www.villaplus.com,100,3,3,1.421338109
Utilities,bulb.co.uk,100,3,3,1.421338109
Utilities,castlewater.co.uk,100,3,3,1.421338109
Utilities,eonnext.com,100,3,3,1.421338109
Utilities,isupplyenergy.co.uk,100,3,3,1.421338109
Utilities,kinex.co.uk,100,3,3,1.421338109
Travel & Vacation,www.prioritypass.com,100,3,3,1.421338109
Travel & Vacation,www.premierinn.com,100,3,3,1.421338109
Travel & Vacation,www.onthebeach.co.uk,100,3,3,1.421338109
Travel & Vacation,www.netflights.com,100,3,3,1.421338109
Travel & Vacation,www.lastminute.com,100,3,3,1.421338109
Travel & Vacation,www.jet2holidays.com,100,3,3,1.421338109
Travel & Vacation,www.hoteldirect.co.uk,100,3,3,1.421338109
Travel & Vacation,www.hoseasons.co.uk,100,3,3,1.421338109
Travel & Vacation,www.flightcentre.co.uk,100,3,3,1.421338109
Travel & Vacation,www.easyjet.com,100,3,3,1.421338109
Travel & Vacation,www.crystaltravel.co.uk,100,3,3,1.421338109
Travel & Vacation,www.canadianaffair.com,100,3,3,1.421338109
Travel & Vacation,www.caledoniantravel.com,100,3,3,1.421338109
Travel & Vacation,www.bluechipholidays.co.uk,100,3,3,1.421338109
Travel & Vacation,www.barrheadtravel.co.uk,100,3,3,1.421338109
Travel & Vacation,www.audleytravel.com,100,3,3,1.421338109
Travel & Vacation,trip.com,100,3,3,1.421338109
